source;source_id;timestamp;price;total area;dorms;toilets;parking;address;lat;lng
vivareal;sala-comercial-itaim-bibi-zona-sul-sao-paulo-com-garagem-592m2-venda-RS30000000-id-2660995600;"2023-11-01 08:32:00.547680";30000000;592;;;16.0;Avenida Brigadeiro Faria Lima, 4300 - Itaim Bibi, São Paulo - SP;-23.5942463;-46.6811184
vivareal;imovel-comercial-vila-mariana-zona-sul-sao-paulo-com-garagem-6243m2-venda-RS25000000-id-2664412210;"2023-11-01 08:32:54.319472";25000000;6243;;;45.0;Rua José Antônio Coelho - Vila Mariana, São Paulo - SP;-23.580497;-46.6446169
vivareal;lancamento-2-dorm-brooklin-2643146028;"2023-11-01 08:33:18.653456";;70;12.0;;0.0;Rua Enxovia, 423 - Vila Sao Francisco (Zona Sul), São Paulo - SP;-23.6280472;-46.7003678
vivareal;galpao-deposito-armazem-socorro-zona-sul-sao-paulo-com-garagem-1225m2-venda-RS17500000-id-2624674401;"2023-11-01 08:33:42.557437";17500000;1225;;2.0;7.0;Avenida do Rio Bonito - Socorro, São Paulo - SP;-23.6787036;-46.709018
vivareal;casa-5-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-750m2-venda-RS17021956-id-2665773833;"2023-11-01 08:34:06.406004";17021956;750;5.0;;6.0;Rua Bastos Pereira, 01 - Vila Nova Conceição, São Paulo - SP;-23.5869357;-46.6713657
vivareal;ponto-comercial-cerqueira-cesar-centro-sao-paulo-com-garagem-696m2-venda-RS18000000-id-90544805;"2023-11-01 08:34:33.013427";18000000;696;;;3.0;Cerqueira César, São Paulo - SP;-23.5593967;-46.6687592
vivareal;sobrado-4-quartos-caxingui-zona-oeste-sao-paulo-com-garagem-3882m2-venda-RS17000000-id-2596751479;"2023-11-01 08:35:26.832834";17000000;3882;4.0;;5.0;Avenida Morumbi - Caxingui, São Paulo - SP;-23.5993185;-46.7085286
vivareal;apartamento-3-quartos-jardim-europa-zona-oeste-sao-paulo-456m2-venda-RS27500000-id-2651681162;"2023-11-01 08:35:50.668824";27500000;456;3.0;;;Rua Frederic Chopin - Jardim Europa, São Paulo - SP;-23.5838842;-46.6881954
vivareal;apartamento-5-quartos-jardim-paulistano-zona-oeste-sao-paulo-com-garagem-826m2-venda-RS57240000-id-2612082203;"2023-11-01 08:36:14.261455";57240000;826;5.0;;9.0;Rua Professor Artur Ramos, 50 - Jardim Paulistano, São Paulo - SP;-23.5812937;-46.6849894
vivareal;arborea-itaim-2644775085;"2023-11-01 08:36:37.849274";;472;4.0;;4.0;Praça Cidade Jardim, 993 - Jardim Paulista, São Paulo - SP;-23.590576;-46.6964323
vivareal;cobertura-4-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-741m2-venda-RS23599970-id-2662484567;"2023-11-01 08:37:01.297372";23599970;741;4.0;;9.0;Rua Camargo Cabral, 30 - Itaim Bibi, São Paulo - SP;-23.5843383;-46.686336
vivareal;apartamento-4-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-632m2-venda-RS21000000-id-2646426845;"2023-11-01 08:37:25.590214";21000000;632;4.0;;7.0;Rua do Livramento, 250 - Vila Mariana, São Paulo - SP;-23.5796228;-46.65304159999999
vivareal;ponto-comercial-jardim-america-zona-sul-sao-paulo-com-garagem-720m2-venda-RS15000000-id-2643903678;"2023-11-01 08:38:19.283176";15000000;720;;;12.0;Rua Oscar Freire, 400 - Jardim América, São Paulo - SP;-23.5661479;-46.6655407
vivareal;lote-terreno-alto-da-boa-vista-zona-sul-sao-paulo-com-garagem-1927m2-venda-RS29000000-id-2664661515;"2023-11-01 08:38:44.223771";29000000;1927;;;30.0;Avenida Adolfo Pinheiro, 893 - Alto Da Boa Vista, São Paulo - SP;-23.6450919;-46.7011174
vivareal;casa-5-quartos-santo-amaro-zona-sul-sao-paulo-com-garagem-850m2-venda-RS15500000-id-2641867780;"2023-11-01 08:39:07.842881";15500000;850;5.0;;8.0;Rua Teixeira de Freitas - Santo Amaro, São Paulo - SP;-23.651593;-46.6901915
vivareal;sobrado-3-quartos-jardim-paulista-zona-sul-sao-paulo-com-garagem-725m2-venda-RS16500000-id-2621384720;"2023-11-01 08:39:31.743397";16500000;725;3.0;;4.0;Rua Henrique Martins, 304 - Jardim Paulista, São Paulo - SP;-23.584259;-46.6656996
vivareal;heritage-itaim-bibi-2570657045;"2023-11-01 08:39:55.866678";;570;4.0;;6.0;Rua Leopoldo Couto Magalhães Júnior, 1200 - Itaim Bibi, São Paulo - SP;-23.5891211;-46.6840991
vivareal;cobertura-4-quartos-jardim-guedala-zona-sul-sao-paulo-com-garagem-1300m2-venda-RS48000000-id-2625778799;"2023-11-01 08:40:19.749739";48000000;1300;4.0;;10.0;Rua Joaquim Macedo, 135 - Jardim Guedala, São Paulo - SP;-23.5897114;-46.7031745
vivareal;apartamento-3-quartos-jardim-europa-zona-oeste-sao-paulo-com-garagem-456m2-venda-RS27500000-id-2656743980;"2023-11-01 08:40:43.373352";27500000;456;3.0;;6.0;Rua Frederic Chopin, 240 - Jardim Europa, São Paulo - SP;-23.5844856;-46.6891366
vivareal;apartamento-4-quartos-jardim-europa-zona-oeste-sao-paulo-com-garagem-350m2-venda-RS22500000-id-2665343053;"2023-11-01 08:41:07.363642";22500000;350;4.0;;5.0;Rua Tucumã - Jardim Europa, São Paulo - SP;-23.5810154;-46.6881645
vivareal;predio-comercial-bras-zona-leste-sao-paulo-com-garagem-9313m2-venda-RS27000000-id-2566678738;"2023-11-01 08:41:34.960197";27000000;9313;;6.0;72.0;Rua Doutor Virgílio do Nascimento - Brás, São Paulo - SP;-23.5300388;-46.6135745
vivareal;galpao-deposito-armazem-jardim-santa-cruz-zona-sul-sao-paulo-21160m2-venda-RS70000000-id-2631225775;"2023-11-01 08:41:58.841577";70000000;21160;;;;Jardim Santa Cruz, São Paulo - SP;-23.4612951;-46.6675163
vivareal;sala-comercial-vila-mariana-zona-sul-sao-paulo-com-garagem-873m2-venda-RS15900000-id-2655886079;"2023-11-01 08:42:22.867000";15900000;873;;10.0;18.0;Rua Vergueiro - Vila Mariana, São Paulo - SP;-23.5869609;-46.6342849
lopes;REO74359;"2023-10-23 10:07:50.841047";24000000;1150;5.0;;10.0;Rua Frei Machado - Santana - São Paulo/SP;-23.5054419;-46.6463786
lopes;REO94022;"2023-10-23 10:08:08.013364";20900000;790;4.0;5.0;6.0;Rua Hermano Ribeiro Da Silva - Ibirapuera - São Paulo/SP;-23.5810151;-46.6523026
lopes;REO31168;"2023-10-23 10:08:24.722093";32000000;1700;5.0;9.0;8.0;Rua Antônio De Andrade Rebelo - Morumbi - São Paulo/SP;-23.6193621;-46.7080443
lopes;REO86200;"2023-10-23 10:08:41.218069";15000000;508;4.0;;5.0;Rua Roberto Caldas Kerr - Alto De Pinheiros - São Paulo/SP;-23.5492086;-46.7194426
lopes;REO558708;"2023-10-23 10:08:58.274600";30000000;773;4.0;7.0;7.0;Rua Canadá - Jardim América - São Paulo/SP;-23.5729433;-46.6681172
lopes;REO573921;"2023-10-23 10:09:15.965979";15000000;650;4.0;7.0;8.0;Avenida Doutor Alberto Penteado - Cidade Jardim - São Paulo/SP;-23.5991985;-46.7031077
lopes;REO23041;"2023-10-23 10:09:33.192568";32000000;601;3.0;5.0;15.0;Rua Argentina - Jardim América - São Paulo/SP;-23.571526;-46.668903
lopes;REO124567;"2023-10-23 10:09:51.161999";15000000;750;5.0;6.0;3.0;Rua Cordeiro Galvão - Alto De Pinheiros - São Paulo/SP;-23.5482335;-46.7062784
lopes;REO90442;"2023-10-23 10:10:08.196719";45000000;1200;5.0;7.0;7.0;Rua José Maria Lisboa - Jardim América - São Paulo/SP;-23.563669;-46.6632292
lopes;REO131203;"2023-10-23 10:10:24.790944";25000000;1086;4.0;10.0;6.0;Rua Das Açucenas - Cidade Jardim - São Paulo/SP;-23.5910106;-46.7014303
lopes;REO298562;"2023-10-23 10:10:40.668434";47000000;686;6.0;6.0;6.0;Rua Espanha - Jardim Europa - São Paulo/SP;-23.5744318;-46.6753414
lopes;REO163674;"2023-10-23 10:11:00.344862";40000000;1251;6.0;10.0;13.0;Rua Jaime Costa - Morumbi - São Paulo/SP;-23.6206671;-46.7082385
lopes;REO312847;"2023-10-23 10:11:16.682723";24900000;632;4.0;6.0;7.0;Rua Do Livramento - Paraíso - São Paulo/SP;-23.5795335;-46.652537
lopes;REO312848;"2023-10-23 10:11:34.256809";26800000;632;4.0;6.0;7.0;Rua Do Livramento - Paraíso - São Paulo/SP;-23.5795335;-46.652537
lopes;REO583569;"2023-10-23 10:11:49.992257";63800000;750;4.0;5.0;6.0;Rua Escócia - Jardim Europa - São Paulo/SP;-23.5787407;-46.6835135
lopes;REO184481;"2023-10-23 10:12:06.621596";24000000;1150;5.0;11.0;10.0;Rua Frei Machado - Jardim São Bento - São Paulo/SP;-23.5054419;-46.6463786
lopes;REO18815;"2023-10-23 10:12:24.670797";32000000;601;3.0;4.0;15.0;Rua Argentina - Jardim América - São Paulo/SP;-23.571526;-46.668903
lopes;REO18653;"2023-10-23 10:12:41.392648";32000000;1880;5.0;15.0;10.0;Avenida Professor Rubens Gomes De Souza - Alto Da Boa Vista - São Paulo/SP;-23.6394751;-46.6785001
lopes;REO345763;"2023-10-23 10:12:56.880620";25000000;632;4.0;6.0;7.0;Rua Do Livramento - Paraíso - São Paulo/SP;-23.5795335;-46.652537
lopes;REO492452;"2023-10-23 10:13:13.682081";32000000;541;4.0;6.0;7.0;Rua Pirapora - Ibirapuera - São Paulo/SP;-23.5816378;-46.6519173
lopes;REO345799;"2023-10-23 10:13:29.343563";20500000;632;4.0;6.0;7.0;Rua Do Livramento - Ibirapuera - São Paulo/SP;-23.5795335;-46.652537
lopes;REO346251;"2023-10-23 10:13:45.554732";27500000;600;4.0;5.0;7.0;Rua Atlântica - Jardim América - São Paulo/SP;-23.5671068;-46.6765991
lopes;REO460114;"2023-10-23 10:14:01.970767";43545000;1202;4.0;6.0;6.0;Rua Joaquim Macedo - Cidade Jardim - São Paulo/SP;-23.5896243;-46.703516
lopes;REO47213;"2023-10-23 10:14:35.718265";16915000;628;4.0;6.0;6.0;Rua Joaquim Macedo - Cidade Jardim - São Paulo/SP;-23.5896243;-46.703516
lopes;REO16891;"2023-10-23 10:14:53.513447";26000000;1000;4.0;5.0;20.0;Rua México - Jardim América - São Paulo/SP;-23.5706558;-46.6720163
lopes;REO83254;"2023-10-23 10:15:10.976956";16000000;475;4.0;6.0;10.0;Rua Panamá - Jardim América - São Paulo/SP;-23.5691554;-46.6738926
lopes;REO14338;"2023-10-23 10:15:27.712999";30000000;850;4.0;5.0;10.0;Praça General San Martin - Jardim América - São Paulo/SP;-23.5647335;-46.6727412
lopes;REO507304;"2023-10-23 10:15:44.953637";23600000;743;4.0;6.0;9.0;Rua Camargo Cabral - Itaim Bibi - São Paulo/SP;-23.5841978;-46.6866383
lopes;REO480030;"2023-10-23 10:16:03.075751";17000000;622;4.0;7.0;8.0;Rua Curitiba - Ibirapuera - São Paulo/SP;-23.5812737;-46.6541037
lopes;REO661450;"2023-10-23 10:16:19.921037";20000000;671;3.0;6.0;6.0;Rua Sabuji - Jardim Paulistano - São Paulo/SP;-23.5828078;-46.6892095
lopes;REO610028;"2023-10-23 10:16:37.459443";28000000;750;7.0;10.0;20.0;Rua Áustria - Jardim Europa - São Paulo/SP;-23.5737733;-46.6799195
lopes;REO42349;"2023-10-23 10:16:54.936224";25000000;1900;5.0;10.0;20.0;Rua General Pereira Da Cunha - Morumbi - São Paulo/SP;-23.6208064;-46.706896
lopes;REO83212;"2023-10-23 10:17:11.252080";18000000;1650;3.0;5.0;6.0;Rua Visconde De Porto Seguro - Chácara Flora - São Paulo/SP;-23.6424647;-46.6854624
lopes;REO331591;"2023-10-23 10:17:27.936187";22000000;485;4.0;6.0;5.0;Rua Seridó - Jardim Europa - São Paulo/SP;-23.5829305;-46.6898405
lopes;REO473337;"2023-10-23 10:17:46.159929";45000000;730;4.0;7.0;6.0;Rua Guadalupe - Jardim América - São Paulo/SP;-23.5557714;-46.6395571
lopes;REO626701;"2023-10-23 10:18:02.175840";63000000;66;2.0;2.0;2.0;Rua Doutor Miranda De Azevedo - Pompéia - São Paulo/SP;-23.5308362;-46.6909294
lopes;REO459987;"2023-10-23 10:18:19.516904";25000000;914;4.0;6.0;6.0;Rua Décio Reis - Alto De Pinheiros - São Paulo/SP;-23.5522024;-46.7025003
lopes;REO55184;"2023-10-23 10:18:35.308644";23000000;1300;4.0;;20.0;Rua Francisco De Brito - Tremembé - São Paulo/SP;-23.4725808;-46.6133588
lopes;REO527376;"2023-10-23 10:18:51.525650";29000000;1333;;10.0;30.0;Avenida Brasil - Jardim América - São Paulo/SP;-23.5706274;-46.6705692
lopes;REO81971;"2023-10-23 10:19:07.233085";24800000;500;4.0;6.0;7.0;Rua Leopoldo Couto De Magalhães Júnior - Itaim Bibi - São Paulo/SP;-23.5882415;-46.680574
lopes;REO54867;"2023-10-23 10:19:23.443091";16000000;620;5.0;5.0;7.0;Rua Antilhas - Jardim América - São Paulo/SP;-23.5667499;-46.6710167
lopes;REO388327;"2023-10-23 10:19:42.390089";35000000;405;3.0;5.0;5.0;Rua Seridó - Jardim Europa - São Paulo/SP;-23.5829305;-46.6898405
lopes;REO514473;"2023-10-23 10:20:00.814573";25000000;680;4.0;8.0;8.0;Rua Turquia - Jardim Europa - São Paulo/SP;-23.5775695;-46.6799115
lopes;REO370938;"2023-10-23 10:20:17.567707";22605560;585;4.0;1.0;5.0;Alameda Lorena - Jardim América - São Paulo/SP;-23.5639007;-46.6658854
lopes;REO103236;"2023-10-23 10:20:39.048910";17000000;960;5.0;7.0;4.0;Rua Barão De Capanema - Jardim América - São Paulo/SP;-23.567898;-46.665507
lopes;REO564162;"2023-10-23 10:20:57.762339";23500000;700;4.0;6.0;6.0;Rua Barão De Bocaina - Higienópolis - São Paulo/SP;-23.5437643;-46.6636781
lopes;REO315281;"2023-10-23 10:21:36.916768";18000000;598;4.0;5.0;4.0;Rua Atlântica - Jardim América - São Paulo/SP;-23.5671068;-46.6765991
lopes;REO136178;"2023-10-23 10:21:54.530927";15000000;853;4.0;7.0;5.0;Rua Desembargador Amorim Lima - Morumbi - São Paulo/SP;-23.5903063;-46.714145
lopes;REO42559;"2023-10-23 10:22:12.246085";16000000;720;5.0;6.0;8.0;Rua Holanda - Jardim Europa - São Paulo/SP;-23.5751332;-46.6736003
lopes;REO616596;"2023-10-23 10:22:32.850737";45000000;985;5.0;8.0;8.0;Rua Guadelupe - Jardim América - São Paulo/SP;-23.5666211;-46.6747302
lopes;REO616292;"2023-10-23 10:22:52.386166";45000000;985;5.0;8.0;8.0;Rua Guadelupe - Jardim América - São Paulo/SP;-23.5666211;-46.6747302
lopes;REO254993;"2023-10-23 10:23:10.268103";22000000;889;4.0;7.0;6.0;Rua Ubiracica - City Pinheiros - São Paulo/SP;-23.5398243;-46.7244512
lopes;REO348599;"2023-10-23 10:23:29.577613";19000000;442;4.0;7.0;4.0;Rua Portugal - Jardim Europa - São Paulo/SP;-23.5754896;-46.6749907
lopes;REO355955;"2023-10-23 10:23:48.072466";15000000;1050;6.0;6.0;10.0;Rua Domingos Leme - Vila Nova Conceição - São Paulo/SP;-23.5916256;-46.6700153
lopes;REO52604;"2023-10-23 10:24:06.171104";63900000;2300;4.0;10.0;20.0;Nicolau Scarpa - Jardim América - São Paulo/SP;-23.5703228;-46.664414
lopes;REO144790;"2023-10-23 10:24:29.145292";40000000;1100;4.0;12.0;7.0;Rua Dom Henrique - Jardim Luzitânia - São Paulo/SP;-23.5950267;-46.6587465
lopes;REO483183;"2023-10-23 10:24:50.509663";18000000;650;4.0;7.0;8.0;Rua Comandante Ismael Guilherme - Jardim Luzitânia - São Paulo/SP;-23.5947294;-46.6599441
lopes;REO3989;"2023-10-23 10:25:09.309494";15800000;522;4.0;7.0;8.0;Rua Doutor Eduardo De Souza Aranha - Itaim Bibi - São Paulo/SP;-23.5883013;-46.6733357
lopes;REO73227;"2023-10-23 10:25:28.165401";16000000;496;4.0;7.0;6.0;Rua Traipu - Pacaembú - São Paulo/SP;-23.5374935;-46.6647178
lopes;REO165443;"2023-10-23 10:25:46.086368";20000000;550;4.0;8.0;4.0;Rua Escócia - Jardim Europa - São Paulo/SP;-23.5787407;-46.6835135
lopes;REO99124;"2023-10-23 10:26:03.693944";39000000;568;;8.0;40.0;Avenida Brasil - Jardim América - São Paulo/SP;-23.5706274;-46.6705692
lopes;REO603242;"2023-10-23 10:26:22.506706";50000000;985;5.0;8.0;8.0;Rua Atlântica - Jardim América - São Paulo/SP;-23.5671068;-46.6765991
lopes;REO404908;"2023-10-23 10:26:40.846745";15000000;550;4.0;8.0;6.0;Alameda Casa Branca - Jardim Paulista - São Paulo/SP;-23.5661707;-46.6601168
lopes;REO459039;"2023-10-23 10:26:58.853004";23000000;593;4.0;6.0;4.0;Rua Macau - Jardim Luzitânia - São Paulo/SP;-23.5953477;-46.6597053
lopes;REO29111;"2023-10-23 10:27:21.819186";17000000;1500;3.0;8.0;15.0;Avenida Morumbi - Morumbi - São Paulo/SP;-23.6040358;-46.7123345
lopes;REO22724;"2023-10-23 10:27:39.690529";15000000;790;4.0;6.0;6.0;Avenida Professor Fonseca Rodrigues - Alto De Pinheiros - São Paulo/SP;-23.5457674;-46.7180896
lopes;REO35943;"2023-10-23 10:27:56.886831";20200000;504;3.0;5.0;4.0;Rua Escócia - Jardim Europa - São Paulo/SP;-23.5787407;-46.6835135
lopes;REO513078;"2023-10-23 10:28:14.288134";15000000;522;;4.0;10.0;Avenida Nove De Julho - Jardim Paulista - São Paulo/SP;-23.5698886;-46.6618928
lopes;REO610073;"2023-10-23 10:28:33.246454";26500000;900;4.0;5.0;8.0;Avenida Quarto Centenário - Jardim Luzitânia - São Paulo/SP;-23.5935747;-46.6596291
lopes;REO78822;"2023-10-23 10:29:14.244691";28000000;1200;7.0;11.0;10.0;Rua Marcelo Mistrorigo - Morumbi - São Paulo/SP;-23.5982919;-46.7134713
lopes;REO580716;"2023-10-23 10:29:33.132264";21000000;418;4.0;6.0;5.0;Avenida Agami - Moema - São Paulo/SP;-23.6000346;-46.6607688
lopes;REO638334;"2023-10-23 10:29:50.813349";17500000;473;4.0;6.0;5.0;Rua Inhambú - Moema - São Paulo/SP;-23.6025538;-46.6696475
lopes;REO62535;"2023-10-23 10:30:10.414098";15000000;370;4.0;4.0;4.0;Rua Brás Cardoso - Vila Nova Conceição - São Paulo/SP;-23.5932214;-46.6690985
lopes;REO135493;"2023-10-23 10:30:27.216315";18950000;742;4.0;7.0;5.0;Avenida Doutora Ruth Cardoso - Cidade Jardim - São Paulo/SP;-23.5511175;-46.7241169
lopes;REO404904;"2023-10-23 10:30:44.829305";15000000;550;4.0;9.0;6.0;Alameda Casa Branca - Jardim Paulista - São Paulo/SP;-23.5661707;-46.6601168
lopes;REO602190;"2023-10-23 10:31:02.698483";19150000;540;4.0;5.0;3.0;Rua Sofia - Jardim Europa - São Paulo/SP;-23.5724358;-46.6786019
lopes;REO70458;"2023-10-23 10:31:20.634416";15600000;1400;4.0;10.0;7.0;Rua Trinta E Um De Março - Morumbi - São Paulo/SP;-23.6167182;-46.7142178
lopes;REO78319;"2023-10-23 10:31:36.402918";17000000;550;4.0;;4.0;Rua Alemanha - Jardim Europa - São Paulo/SP;-23.5754346;-46.6764612
lopes;REO125164;"2023-10-23 10:31:53.998598";15000000;768;4.0;10.0;8.0;Rua Teixeira De Freitas - Alto Da Boa Vista - São Paulo/SP;-23.651593;-46.6901915
lopes;REO134754;"2023-10-23 10:32:11.651731";15000000;750;4.0;6.0;10.0;Rua Conde D'eu - Alto Da Boa Vista - São Paulo/SP;-23.6437994;-46.6934223
lopes;REO642758;"2023-10-23 10:32:29.262641";36000000;653;2.0;4.0;6.0;Praça Pereira Coutinho 40 - Vila Nova Conceição - São Paulo/SP;-23.5925392;-46.6694549
lopes;REO618452;"2023-10-23 10:32:46.914452";18000000;900;5.0;6.0;6.0;Rua Doutor João Pinheiro - Jardim Paulista - São Paulo/SP;-23.5763219;-46.6632271
lopes;REO22794;"2023-10-23 10:33:07.192685";29950000;1200;4.0;8.0;8.0;Parque Parque Morumbi - Jardim Guedala - São Paulo/SP;-23.5870196;-46.7059852
lopes;REO547353;"2023-10-23 10:33:24.542003";26000000;1126;5.0;8.0;5.0;Rua Maestro Elias Lobo - Jardim Paulista - São Paulo/SP;-23.5749241;-46.666869
lopes;REO599386;"2023-10-23 10:33:42.701102";18000000;1107;;3.0;;Avenida Engenheiro Luiz Carlos Berrini - Brooklin - São Paulo/SP;-23.604648;-46.6927587
lopes;REO599369;"2023-10-23 10:34:00.430729";18500000;1446;;3.0;;Avenida Engenheiro Luiz Carlos Berrini - Brooklin - São Paulo/SP;-23.604648;-46.6927587
lopes;REO88217;"2023-10-23 10:34:20.857995";17450000;820;4.0;6.0;8.0;Rua Conde De Porto Alegre - Campo Belo - São Paulo/SP;-23.6228659;-46.6742693
lopes;REO581846;"2023-10-23 10:34:38.724564";22000000;534;4.0;6.0;7.0;Avenida Hélio Pellegrino - Vila Nova Conceição - São Paulo/SP;-23.598309;-46.6726165
lopes;REO266086;"2023-10-23 10:34:56.305604";21000000;518;4.0;6.0;6.0;Rua Afonso Braz - Vila Nova Conceição - São Paulo/SP;-23.595506;-46.6684607
lopes;REO611830;"2023-10-23 10:35:12.969526";28000000;770;5.0;6.0;7.0;Rua Armando Petrella - Cidade Jardim - São Paulo/SP;-23.5992112;-46.6996289
lopes;REO624650;"2023-10-23 10:35:29.831031";27990000;770;5.0;6.0;7.0;Rua Armando Petrella - Real Parque - São Paulo/SP;-23.6015511;-46.6997539
lopes;REO666203;"2023-10-23 10:35:46.645272";17950000;415;4.0;6.0;5.0;Rua General Mena Barreto - Jardim Paulista - São Paulo/SP;-23.5806123;-46.6666133
lopes;REO76484;"2023-10-23 10:36:23.417368";16000000;917;7.0;8.0;20.0;Rua Miranda Guerra - Jardim Petrópolis - São Paulo/SP;-23.6334011;-46.6826288
lopes;REO508857;"2023-10-23 10:36:41.883208";17500000300;365;3.0;5.0;5.0;Rua Bela Cintra - Jardim América - São Paulo/SP;-23.5631466;-46.6689359
lopes;REO566387;"2023-10-23 10:36:59.521726";18000000;763;4.0;6.0;4.0;Rua Doutor João Pinheiro - Jardim Paulista - São Paulo/SP;-23.5763219;-46.6632271
lopes;REO211908;"2023-10-23 10:37:16.991148";19000000;634;5.0;8.0;7.0;Rua Marcos Lopes - Vila Nova Conceição - São Paulo/SP;-23.5966743;-46.6711168
lopes;REO211682;"2023-10-23 10:37:35.221036";25000000;1240;10.0;5.0;15.0;Avenida Europa - Jardim Europa - São Paulo/SP;-23.5752363;-46.67808
lopes;REO510285;"2023-10-23 10:37:52.921520";25000000;1117;5.0;9.0;10.0;Rua Visconde De Porto Seguro - Chácara Flora - São Paulo/SP;-23.6424647;-46.6854624
lopes;REO215015;"2023-10-23 10:38:09.822003";35000000;2509;4.0;2.0;4.0;Rua Dos Goivos - Cidade Jardim - São Paulo/SP;-23.5946954;-46.7008463
lopes;REO566249;"2023-10-23 10:38:26.775299";24500000;718;4.0;7.0;7.0;Rua Natividade - Vila Nova Conceição - São Paulo/SP;-23.5969893;-46.6725156
lopes;REO386753;"2023-10-23 10:38:45.272738";16250000;601;4.0;7.0;6.0;Avenida Horácio Lafer - Itaim Bibi - São Paulo/SP;-23.5878823;-46.6835767
lopes;REO195536;"2023-10-23 10:39:02.039040";16000000;1800;;;;Rua Alfredo Pujol - Santana - São Paulo/SP;-23.5002554;-46.6350569
lopes;REO35744;"2023-10-23 10:39:24.303603";30000000;850;5.0;9.0;8.0;Rua D'ouro - Jardim Luzitânia - São Paulo/SP;-23.5929222;-46.6539375
lopes;REO471049;"2023-10-23 10:39:42.113812";15000000;300;3.0;4.0;4.0;Rua Armando Petrella - Cidade Jardim - São Paulo/SP;-23.5992112;-46.6996289
lopes;REO40035;"2023-10-23 10:40:00.043722";15000000;799;5.0;4.0;10.0;Rua Caraúna - City Pinheiros - São Paulo/SP;-23.5509607;-46.7056523
lopes;REO265566;"2023-10-23 10:40:30.536979";17000000;1800;5.0;7.0;13.0;Rua Circular Do Bosque - Jardim Guedala - São Paulo/SP;-23.5875248;-46.7020951
